region,value
World,2655047894.4321723
China,1234572173.8605592
Europe,613462788.5522298
USA,422086099.85428184
Rest of the world,321294565.23576945
India,67457004.71277526
EU27,35273002.22699998
Germany,10576225.03287967
France,7189074.370529465
United Kingdom,6512347.896999318
Norway,4949056.947818933
Netherlands,4097058.7346004057
Japan,3875491.163329986
Korea,3159662.8150204523
Sweden,2610164.378491218
Canada,2527226.3621799685
Italy,2005002.5515997866
Belgium,1791752.5160997885
Spain,1480414.069489439
Switzerland,1236763.2430004384
Denmark,1167351.9128991978
Austria,915669.7148999162
Finland,781367.49100105
Portugal,709841.8667009082
Australia,591719.104889937
Israel,489954.7500517828
New Zealand,375191.8926698204
Poland,362669.9231396586
Brazil,273233.83192666364
Turkiye,211789.92192002898
Iceland,194413.2894005347
Mexico,152530.17445496024
Greece,115241.42541706651
Ireland,88649.76000005007
United Arab Emirates,52831.18099987693
Luxembourg,42190.5
Hungary,42071.230000182986
Romania,39517.97999973409
Czech Republic,34316.120000094175
Costa Rica,27657.284600116313
South Africa,18339.14353999507
Chile,17387.728010001636
Colombia,16031.567000145093
Slovenia,13389.259999662638
Slovakia,13367.119999930263
Thailand,9731.0
Croatia,7572.709999829531
Lithuania,6695.590000107884
Latvia,4714.340000361204
Bulgaria,4636.7900002487
Estonia,4605.510000318289
Cyprus,2277.49000030756
Indonesia,1705.0
Seychelles,359.8799996674061
